Country,Life expectancy,ISO-code
Hong Kong,84.7,HKG
Japan,84.5,JPN
Italy,83.6,ITA
Iceland,82.9,ISL
Israel,82.8,ISR
Ireland,82.1,IRL
Belgium,81.5,BEL
Austria,81.4,AUT
Barbados,79.1,BRB
Lebanon,78.9,LBN
Bahrain,77.2,BHR
Hungary,76.7,HUN
Iran,76.5,IRN
Kuwait,75.4,KWT
Latvia,75.2,LVA
Honduras,75.1,HND
Belarus,74.6,BLR
Jamaica,74.4,JAM
Jordan,74.4,JOR
Kazakhstan,73.2,KAZ
Azerbaijan,72.9,AZE
Bangladesh,72.3,BGD
Indonesia,71.5,IDN
Kyrgyzstan,71.3,KGZ
Iraq,70.5,IRQ
India,69.4,IND
Kiribati,68.1,KIR
Laos,67.6,LAO
Kenya,63.3,KEN
Ivory Coast,57.4,CIV
